category,art,brand,name,colorWay,color,fibers,inStock,nm,Price/item,price,nm1,nm2,nm3,meterage
cashmere,101979,Loro Piana,cablelight,blue,jeans,100%WS,1005,3/20000,€ 150.75,€ 15.00,1,3,20000,667
cashmere,102006,Loro Piana,cablelight,black,black,100%WS,1025,3/20000,€ 153.75,€ 15.00,1,3,20000,667
cashmere,102007,Loro Piana,cablelight,black,black,100%WS,1000,3/20000,€ 150.00,€ 15.00,1,3,20000,667
cashmere,102021,Loro Piana,cablelight,black,black,100%WS,555,3/2000,€ 83.25,€ 15.00,1,3,2000,67
merino,707674,Lanecardate,canberra,red,red,100%WV,1070,2/15500,€ 40.13,€ 3.75,1,2,15500,775
merino,707675,Lanecardate,canberra,red,red,100%WV,870,2/15500,€ 32.63,€ 3.75,1,2,15500,775
merino,707676,Lanecardate,canberra,blue,night blue,100%WV,540,2/1/8000,€ 20.25,€ 3.75,2,1,8000,400
merino,800804,Lane Cardate,canberra frise,red,rosso,88%WV 12%PA,300,1/15500,€ 7.50,€ 2.50,1,1,15500,1550
"silk,viscose",901004,Loro Piana,canvas,multicolor,multicolor,70%VI 30%SE,810,1/1500,€ 32.40,€ 4.00,1,1,1500,150
"silk,viscose",901007,Loro Piana,canvas,multicolor,multicolor,70%VI 30%SE,915,1/1500,€ 36.60,€ 4.00,1,1,1500,150
"silk,viscose",901009,Loro Piana,canvas,multicolor,multicolor,70%VI 30%SE,1340,1/1500,€ 53.60,€ 4.00,1,1,1500,150
cashmere,102054,Cariaggi,cash100,blue,atlantis,100%WS,35,2x 2/28000,€ 5.25,€ 15.00,2,2,28000,700
cashmere,102077,Cariaggi,cash100,blue,blue iris,100%WS,215,2/28000,€ 32.25,€ 15.00,1,2,28000,1400
cashmere,102078,Cariaggi,cash100,black,black pure,100%WS,285,2/28000,€ 42.75,€ 15.00,1,2,28000,1400
cashmere,102107,Cariaggi,cash100,pink,antique rosa,100%WS,225,2/28000,€ 33.75,€ 15.00,1,2,28000,1400
cashmere,102175,Cariaggi,cash100,blue,blue ocean,100%WS,205,2/28000,€ 30.75,€ 15.00,1,2,28000,1400
cashmere,102176,Cariaggi,cash100,natural,beluga,100%WS,215,2/28000,€ 32.25,€ 15.00,1,2,28000,1400
cashmere,102055*,Cariaggi,cash100,blue,atlantis,100%WS,85,2x 2/28000,€ 12.75,€ 15.00,2,2,28000,700
cashmere,102056*,Cariaggi,cash100,blue,atlantis,100%WS,50,2/28000,€ 7.50,€ 15.00,1,2,28000,1400
cashmere,102057*,Cariaggi,cash100,blue,atlantis,100%WS,80,2/28000,€ 12.00,€ 15.00,1,2,28000,1400
cashmere,102076*,Cariaggi,cash100,black,black,100%WS,255,2/28000,€ 38.25,€ 15.00,1,2,28000,1400
cashmere,102185*,Cariaggi,cash100,beige,camel,100%WS,480,2/28000,€ 72.00,€ 15.00,1,2,28000,1400
cashmere,102111,Loro Piana,cash2/27,red,red,100%WS,210,2/27000,€ 31.50,€ 15.00,1,2,27000,1350
cashmere,102112,Loro Piana,cash2/27,yellow,mais,100%WS,490,2/27000,€ 73.50,€ 15.00,1,2,27000,1350
cashmere,102113,Loro Piana,cash2/27,gray,blue grey,100%WS,315,2/27000,€ 47.25,€ 15.00,1,2,27000,1350
cashmere,102116,Loro Piana,cash2/27,pink,old rose,100%WS,845,2/27000,€ 126.75,€ 15.00,1,2,27000,1350
cashmere,101800,GiTiBi,cashmere,gray,mid grey  ,100%WS,270,2/28000,€ 40.50,€ 15.00,1,2,28000,1400
cashmere,101726,Loro Piana,cashmere,blue,blue,100%WS,790,2/27000,€ 118.50,€ 15.00,1,2,27000,1350
cashmere,101743,Loro Piana,cashmere,beige,beige mel.,100%WS,900,2/27000,€ 135.00,€ 15.00,1,2,27000,1350
cashmere,102050,Loro Piana,cashmere,red,red,100%WS,135,2/28000,€ 20.25,€ 15.00,1,2,28000,1400
cashmere,102073,Loro Piana,cashmere,white,white,100%WS,210,2/27000,€ 31.50,€ 15.00,1,2,27000,1350
cashmere,102051*,Loro Piana,cashmere,red,red,100%WS,245,2x 2/27000,€ 36.75,€ 15.00,2,2,27000,675
cashmere,100168,Loro Piana,cash2/27,blue,blue navy,100%WS,390,2/27000,€ 58.50,€ 15.00,1,2,27000,1350
cashmere,101848,Loro Piana,cash2/27,pink,antique rosa,100%WS,415,2/27000,€ 62.25,€ 15.00,1,2,27000,1350
cashmere,101849,Loro Piana,cash2/27,pink,antique rosa,100%WS,300,2/27000,€ 45.00,€ 15.00,1,2,27000,1350
cashmere,101853,Loro Piana,cash2/27,red,bordeaux,100%WS,425,2/27000,€ 63.75,€ 15.00,1,2,27000,1350
cashmere,101884,Loro Piana,cash2/27,pink,antique rosa,100%WS,840,2/27000,€ 126.00,€ 15.00,1,2,27000,1350
cashmere,101885,Loro Piana,cash2/27,pink,antique rosa,100%WS,805,2/27000,€ 120.75,€ 15.00,1,2,27000,1350
cashmere,101889,Loro Piana,cash2/27,black,black,100%WS,1010,2/27000,€ 151.50,€ 15.00,1,2,27000,1350
cashmere,102041,Loro Piana,cash2/27,blue,blue,100%WS,340,2x 2/27000,€ 51.00,€ 15.00,2,2,27000,675
cashmere,101850*,Loro Piana,cash2/27,pink,antique rosa,100%WS,425,2/27000,€ 63.75,€ 15.00,1,2,27000,1350
merino,700715,Grignesco,cashwool,gray,licht gr melange,100%WV,1180,2/28000,€ 44.25,€ 3.75,1,2,28000,1400
merino,707490,Lana Gatto,cashwool,blue,light blue,100%WV,1090,2/30000,€ 40.88,€ 3.75,1,2,30000,1500
"cashmere mix,cotton",203232,Cariaggi,chambrey,beige,cold beige,50%WS 50%CO,600,3x 2/28000,€ 45.00,€ 7.50,3,2,28000,467
wool,700748,JC Renny,chunky,brown,nutmeg,100%WO,860,2/1/4000,€ 34.40,€ 4.00,2,1,4000,200
silk,505125,Filitaly,cosmopolitan,blue,sky,100%SE,320,1/1500,€ 25.60,€ 8.00,1,1,1500,150
silk,505127,Filitaly,cosmopolitan,blue,sky,100%SE,565,1/1500,€ 45.20,€ 8.00,1,1,1500,150
silk,505128,Filitaly,cosmopolitan,blue,sky,100%SE,585,1/1500,€ 46.80,€ 8.00,1,1,1500,150
